id,started_at,finished_at,source_count,raw_item_count,signal_count,status,error
1,2026-09-08T10:14:26.788204+00:00,2026-09-08T10:15:13.848545+00:00,2,55,0,partial,"""1 source(s) failed: [('gdelt', 'GDELT fetch failed: HTTP 429 on https://api.gdeltproject.org/api/v2/doc/doc?query=%28AI+OR+artificial+intelligence+OR+machine+learning+OR+OpenAI+OR+Anthropic+OR+Nvidia%29&mode=artlist&format=json&maxrecords=50&sourcelang=en&sort=datedesc: Too Many Requests')]"""
2,2026-09-08T10:39:28.155603+00:00,2026-09-08T10:39:45.833050+00:00,4,79,0,partial,"""2 source(s) failed: [('kr36', 'fetch failed after retries: https://36kr.com/feed: <urlopen error EOF occurred in violation of protocol (_ssl.c:1129)>'), ('qbitai', 'fetch failed after retries: https://www.qbitai.com/feed: <urlopen error EOF occurred in violation of protocol (_ssl.c:1129)>')]"""
3,2026-09-08T11:02:24.059030+00:00,2026-09-08T11:02:32.856403+00:00,3,10,0,partial,"""1 source(s) failed: [('kr36', 'kr36: invalid XML: not well-formed (invalid token): line 9, column 542')]"""
4,2026-09-08T11:04:43.237481+00:00,,0,0,0,running,
5,2026-09-08T11:15:33.844277+00:00,2026-09-08T11:15:33.846106+00:00,8,13,0,partial,3 source(s) failed
6,2026-09-08T11:30:53.524576+00:00,2026-09-08T11:30:53.524835+00:00,3,0,0,ok,
7,2026-09-08T11:31:24.285633+00:00,2026-09-08T11:31:32.143167+00:00,2,10,0,partial,"""1 source(s) failed: [('jiqizhixin', 'jiqizhixin: invalid XML: not well-formed (invalid token): line 7, column 82')]"""
8,2026-09-08T11:37:26.601635+00:00,2026-09-08T11:37:26.602405+00:00,12,20,0,partial,1 source(s) failed
9,2026-09-08T11:43:44.625078+00:00,2026-09-08T11:43:45.639845+00:00,2,6,0,ok,
10,2026-09-08T11:43:55.824755+00:00,2026-09-08T11:43:57.951436+00:00,2,30,0,ok,
11,2026-09-08T11:54:31.565175+00:00,2026-09-08T11:54:31.566984+00:00,13,44,0,ok,
12,2026-09-08T11:55:20.820194+00:00,2026-09-08T11:55:20.821928+00:00,15,41,0,ok,
13,2026-09-08T12:00:04.179696+00:00,2026-09-08T12:00:04.181512+00:00,15,7,0,ok,
